Timestamp(ms),Current(uA),D0-D7
849160,10605.650,00000000
849170,10668.215,00000000
849180,11027.941,00000000
849190,11074.576,00000000
849200,11317.505,00000000
849210,11154.689,00000000
849220,11024.939,00000000
849230,10994.052,00000000
849240,11135.668,00000000
849250,10872.296,00000000
849260,10871.190,00000000
849270,10679.176,00000000
849280,10869.962,00000000
849290,10943.298,00000000
849300,11112.540,00000000
849310,11353.178,00000000
849320,11123.357,00000000
849330,11283.364,00000000
849340,10649.422,00000000
849350,10826.040,00000000
849360,10811.844,00000000
849370,11464.563,00000000
849380,11081.938,00000000
849390,10627.614,00000000
849400,10496.525,00000000
849410,10512.335,00000000
849420,10695.694,00000000
849430,11272.041,00000000
849440,11185.008,00000000
849450,11400.820,00000000
849460,10618.329,00000000
849470,10744.873,00000000
849480,10709.579,00000000
849490,10615.186,00000000
849500,11006.170,00000000
849510,10989.725,00000000
849520,11056.720,00000000
849530,10731.698,00000000
849540,10678.842,00000000
849550,10674.668,00000000
849560,10304.608,00000000
849570,10812.578,00000000
849580,11150.274,00000000
849590,11297.271,00000000
849600,10864.118,00000000
849610,10805.059,00000000
849620,11068.853,00000000
849630,10874.974,00000000
849640,10589.700,00000000
849650,11092.827,00000000
849660,11225.730,00000000
849670,11551.780,00000000
849680,11426.809,00000000
849690,11041.755,00000000
849700,10734.617,00000000
849710,10693.991,00000000
849720,11058.904,00000000
849730,10985.262,00000000
849740,10867.995,00000000
849750,11072.816,00000000
849760,11143.350,00000000
849770,10702.993,00000000
849780,11099.585,00000000
849790,11115.607,00000000
849800,11177.691,00000000
849810,11237.276,00000000
849820,11360.800,00000000
849830,11267.213,00000000
849840,10620.700,00000000
849850,11342.569,00000000
849860,11397.390,00000000
849870,10844.178,00000000
849880,11148.669,00000000
849890,10638.396,00000000
849900,10798.559,00000000
849910,10894.675,00000000
849920,11149.049,00000000
849930,11118.057,00000000
849940,11183.061,00000000
849950,10873.926,00000000
849960,10964.035,00000000
849970,10697.011,00000000
849980,10675.169,00000000
849990,10944.110,00000000
850000,10901.296,00000000
850010,11076.611,00000000
850020,11196.778,00000000
850030,10829.509,00000000
850040,10413.598,00000000
850050,10614.551,00000000
850060,10861.400,00000000
850070,11183.988,00000000
850080,10973.517,00000000
850090,11099.308,00000000
850100,10921.882,00000000
850110,10989.510,00000000
850120,10848.225,00000000
850130,11204.799,00000000
850140,11110.462,00000000
850150,11692.187,00000000
850160,11030.347,00000000
850170,10700.592,00000000
850180,10741.011,00000000
850190,11017.789,00000000
